"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","screenName","retweetCount","isRetweet","longitude","latitude"
"10189","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/F0q7b93SeN",FALSE,0,"yambarnlagos1",2021-01-24 06:30:15,TRUE,"1353228601160847361","1353228604054917122","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10190","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/DLPGKcqWWf",FALSE,0,"yambarnlagos1",2021-01-24 06:30:14,TRUE,"1353228598040268800","1353228601160847361","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10191","Very bad night at the office for the UFC

#fightclub247 #mma #ufc #ufcfightnight #striking #boxing #forthefans… https://t.co/zLV8FkK9rz",FALSE,2,NA,2021-01-24 06:30:14,TRUE,NA,"1353228600108060673",NA,"fightclub247",0,FALSE,NA,NA
"10192","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/STvxBk1Kaq",FALSE,0,"yambarnlagos1",2021-01-24 06:30:14,TRUE,"1353228594860994560","1353228598040268800","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10193","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/gDCMc6Qm8f",FALSE,0,"yambarnlagos1",2021-01-24 06:30:13,TRUE,"1353228591853694977","1353228594860994560","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10194","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/fcVtfQuLMZ",FALSE,0,"yambarnlagos1",2021-01-24 06:30:12,TRUE,"1353228588800225281","1353228591853694977","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10195","Poirier vs ______ ?
Oliveira 
Justin Gaethje
Chandler
#UFC257 #UFCFightIsland",FALSE,1,NA,2021-01-24 06:30:12,FALSE,NA,"1353228589802672128",NA,"MJCuellar325",0,FALSE,NA,NA
"10196","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/BC8cqUtMbK",FALSE,0,"yambarnlagos1",2021-01-24 06:30:11,TRUE,"1353228585830653952","1353228588800225281","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10197","#UFC257 Dustin Pourier nocauteou o Connor McGregor que noite",FALSE,0,NA,2021-01-24 06:30:11,FALSE,NA,"1353228587256655872",NA,"marcojulianely",0,FALSE,NA,NA
"10198","#UFC257 Dana White lowkey funny as shit, that backflip comment had me DYing https://t.co/9nOfGsFWtN",FALSE,0,NA,2021-01-24 06:30:11,FALSE,NA,"1353228587139260421",NA,"brytonL",0,FALSE,NA,NA
"10199","Happy Sunday everyone from YamBarn...... 
#sundayvibes 
#Lagos 
#market 
#Food 
#Africa 
#SundayMotivation… https://t.co/oCCAtWMzCE",FALSE,0,"yambarnlagos1",2021-01-24 06:30:11,TRUE,"1353228582773002240","1353228585830653952","1308426449343438851","yambarnlagos1",0,FALSE,NA,NA
"10200","Dana when                   Dana when he
Conor lost        vs        got the streamer
#UFC257 https://t.co/NyRIVj4yVd",FALSE,3,NA,2021-01-24 06:30:11,FALSE,NA,"1353228584861761536",NA,"davewjscott",0,FALSE,NA,NA
"10201","Seems like both Conor McGregor and Nate Robinson passed out together. <U+0001F602> #UFC257 #connormcgregor #McGregorPoirier2… https://t.co/JCwuDidhac",FALSE,6,NA,2021-01-24 06:30:10,TRUE,NA,"1353228583381118976",NA,"BaleJrspeed",1,FALSE,NA,NA
